OrderDetailID,OrderID,ProductName,ProductType,Quantity
283,194,Áo polo nam có cổ nhiều màu vải thun cá sấu 4 chiều cotton chuẩn form cao cấp Chiaro,"Trắng,M",1
284,194,Áo polo nam có cổ nhiều màu vải thun cá sấu 4 chiều cotton chuẩn form cao cấp Chiaro,"Xám Lam,M",1
285,195,Xà bông cục camay hươn nước hoa 125g,"Đen,125g",1
286,195,Tinh dầu đuổi muỗi Jumbo Vape Nhật 45 ngày,"Bộ xông,25ml",1
287,195,Tinh dầu đuổi muỗi Jumbo Vape Nhật 45 ngày,"Chất xông,25ml",1
288,196,Lót chuột cỡ lớn 80x30cm chuyên game chống trơn trượt siêu bền siêu rẻ,Tổ Ong Xanh lá 8030,1
289,196,Lót chuột cỡ lớn 80x30cm chuyên game chống trơn trượt siêu bền siêu rẻ,Tổongxanhdương 8030,1
290,197,Bo mạch chủ - Mainboard MSI B360M MORTAR,,1
291,198,Lắc tay dây rút Eleanor Accessories vòng tay nữ gold bar khắc chữ Love Dream phụ kiện trang sức đẹp,Màu Bạc SP003405,1
292,198,Lắc tay dây rút Eleanor Accessories vòng tay nữ gold bar khắc chữ Love Dream phụ kiện trang sức đẹp,Màu Vàng SP003404,1
293,199,"Bông Tai Nữ Eleanor Hạt Bi Tròn Đính Pha Lê Thanh Lịch, Sang Trọng",Đôi Sọc Trắng,1
294,200,Power CM MWE Bronze 500W V2 230V,,1
295,201,[Mã 11ELSALE hoàn 7% xu đơn 300K] Vỏ case Infinity Eclipse M Tempered Glass - Tặng 1 Fan Không Led,,1
296,202,"10m Mếch keo, Mex giấy Nhật xịn loại mỏng có hạt keo khổ rộng 1m2, màu trắng đen",trắng,1
297,202,kéo bấm chỉ hệu pin,,2
298,203,SỔ LÒ XO PGRAND A5 DÀY / MỎNG - Sổ văn phòng đẹp,DÀY,3
299,203,Kệ rổ xéo nhựa 1 ngăn xukiva,,1
300,204,✔FREESHIP✔Củ sạc nhanh Hoco C80/C80A-2 cổng sạc USB và Type-C-sạc nhanh QC3.0 và PD 20W cho IPHONE IPAD-CỐC Sạc ANDROID,CỐC SẠC 20W(USB-C),1
301,205,"Quạt Tản Nhiệt CPU Jonsbo | CR1000, CR1000GT, CR1000 Plus, CR1200, CR1400, T400i",CR1200,1
302,206,Ram 8GB Teamgroup Elite DDR4 2666MHZ Tản Đỏ Networkhub Phân phối,,1
303,207,Cáp VGA Male to Male Hỗ trợ Full-HD 1080P Cao Cấp UGREEN,2M,2
304,208,Ram 8GB Teamgroup Elite DDR4 2666MHZ Tản Đỏ Networkhub Phân phối,,1
305,209,QiYi Timer + Dây cáp Cable kết nối. Đồng Hồ Máy Đếm Thời Gian Giải Rubik,Dây Cable,1
306,209,Rubik RS3M 2020 Có Nam Châm. Rubik 3x3 MoYu RS3 M 2020 Plus Sticker & Stickerless Mod Nam Châm Rẻ Nhất,RS3M Sticker Đen,1
307,210,[Mã 1010ELSALE hoàn 7% đơn 300K] Tản nhiệt khí Cooler Master T400i,Led xanh,1
308,211,Đồng Hồ SpeedStacks Pro Timer Gen 4 Đồng Hồ Chơi Rubik Speed Stacks Siêu Xịn,,1
309,212,"Đèn LED Ulanzi VL49 cho máy ảnh, điện thoại và gopro.",,1
310,213,CHUỘT LOGHITECH B100 (CÓ DÂY),,1
311,214,"Phụ kiện Rubik Sticker Gan, Valk, GTS","GTS, GTSv2 FF FB",1
312,214,"Rubik FlagShip Siêu Tốt, Siêu Bền, Siêu Hiếm",Aolong GT Trắng,1
313,214,"Rubik FlagShip Siêu Tốt, Siêu Bền, Siêu Hiếm",Yuexiao Trắng,1
314,215,Rubik 3x3x3. FlagShip Siêu Giảm Giá Moyu Weilong GTS V1 M. Rất Nhanh. Độ Bền Rất Cao. Đáng Tiền Nhất,2. Đen Core Trắng M,1
315,216,Mếch giấy hạt keo ( khổ 1m ),"Trắng,1m *1m",6
316,216,Mếch giấy hạt keo ( khổ 1m ),"Đen,1m *1m",6
317,217,Dầu Gió Nước Xanh 2 Nắp SingaPore Eagle Brand 24ml,1 chai lẻ,3
318,218,SG - Miếng lót chân bàn ghế chống trơn trượt bằng cao su xốp,"Vuông,48 miếng",1
319,218,SG - Miếng lót chân bàn ghế chống trơn trượt bằng cao su xốp,"Vuông,30 miếng",1
320,218,SG - Miếng lót chân bàn ghế chống trơn trượt bằng cao su xốp,"Vuông,12 miếng",1
321,219,Chân quay tik tok live stream livestream tăng được máy tăng giảm độ cao,:CHÂN 2M+BI CẦU+KẸP,1
322,220,Bọc plastic cao cấp cho sách truyện (nhiều kích thước tùy chọn),23cm,1
323,220,Bọc plastic cao cấp cho sách truyện (nhiều kích thước tùy chọn),24cm,4
324,220,Bọc plastic cao cấp cho sách truyện (nhiều kích thước tùy chọn),26.5cm,3
325,221,Giá đỡ điện thoại Tripod gắn xe ô tô tiện lợi,,1
326,221,Chân nối giá đỡ camera banh xoay 360 độ vít 1/4inch,,1
327,221,Giá Đỡ Điện Thoại Xoay 360 Độ 1buycart Ulanzi St 17,,1
328,222,Giá Đỡ Micro Ulanzi Pt-7 Chất Lượng Cao,Black,1
329,223,Viêm tai giữa đông y gia truyền,,1
330,224,SỔ LÒ XO A5 DÀY 200TR / MỎNG 100 TR,DÀY 200TR,3
331,225,"Đèn LED Tuýp chuyên dùng quay Tiktok (120cm, 90cm) - Đủ màu siêu sáng, loại tốt","90cm,Xanh dương",1
332,225,"Đèn LED Tuýp chuyên dùng quay Tiktok (120cm, 90cm) - Đủ màu siêu sáng, loại tốt","90cm,Hồng tím",1
333,226,mùng xếp chống mũi - mùng xếp gấp gọn,100x190x80cm,1
334,227,[Mã ELFLASH2 hoàn 10K xu đơn 20K] Đệm tai nghe Qinlian A7 A6 (dạng ovan) dailyphukien,trắng,2
335,228,"Giá đỡ 3 chân đa năng siêu cao 2 mét gắn đèn led, gắn điện thoại, máy tính bảng hỗ trợ livestream, quay video",Giá 2 mét,1
336,229,"Kệ Dán Tường Để Remote, Đồ Dùng/ Giá Đỡ Sạc Điện Thoại - Có Móc Treo Giữ Dây Điện",Ngẫu nhiên,3
337,230,"Bộ 50 túi zip chỉ đỏ đóng gói hàng, đựng thực phẩm",50 túi (7x10cm),1
338,230,"Bộ 50 túi zip chỉ đỏ đóng gói hàng, đựng thực phẩm",50 túi (10x15cm),1
339,230,"Bộ 50 túi zip chỉ đỏ đóng gói hàng, đựng thực phẩm",5 túi (30x40cm),1
340,230,"Bộ 50 túi zip chỉ đỏ đóng gói hàng, đựng thực phẩm",5 túi (35x45cm),1
341,231,"Ẩm Kế Điện Tử Mini dùng để đo nhiệt độ, độ ẩm",,1
342,232,HỘP NHỰA ĐỰNG THỰC PHẨM LOCK,,5
343,233,Tinh Dầu Tràm Huế ( chai lớn 100ml),,1
344,234,[Mã ELMSHX hoàn 8% xu đơn 500K] Ổ cứng SSD Samsung 860 Evo 500Gb new nguyên seal bảo hành 5 năm,,1
345,235,Tạ tay nhựa VN 10kg (Xanh dương),,1
346,236,"Khung kẹp giữ điện thoại chốt vặn bằng đinh ốc, xoay 360 độ, đỡ điện thoại quay ngang dọc gắn lên tripod giá rẻ",Đinh Ốc 360,1
347,236,"Kẹp điện thoại vặn bằng đinh ốc dành cho các dòng điện thoại lớn, kẹp gắn điện thoại lên giá đỡ tripod(không gồm giá đỡ)",Đinh ốc đơn,1
